filename,line_number,problem_description
test/rules/snooker.spec.ts,L290,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L291,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L292,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L303,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L313,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L314,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L339,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L340,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L352,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L353,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L365,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L393,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L408,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L409,Prefer `globalThis` over `global`.
test/rules/snooker.spec.ts,L410,Prefer `globalThis` over `global`.
test/rules/threecushion.spec.ts,L46,Do not call `Array#push()` multiple times.
test/rules/threecushion.spec.ts,L47,Do not call `Array#push()` multiple times.
test/rules/threecushion.spec.ts,L48,Do not call `Array#push()` multiple times.
test/rules/threecushion.spec.ts,L49,Do not call `Array#push()` multiple times.
test/rules/threecushion.spec.ts,L93,Do not call `Array#push()` multiple times.
test/rules/threecushion.spec.ts,L94,Do not call `Array#push()` multiple times.
test/rules/threecushion.spec.ts,L95,Do not call `Array#push()` multiple times.
test/rules/threecushion.spec.ts,L96,Do not call `Array#push()` multiple times.
test/rules/threecushion.spec.ts,L104,Do not call `Array#push()` multiple times.
test/rules/threecushion.spec.ts,L105,Do not call `Array#push()` multiple times.
test/server/messagerelay.spec.ts,L10,Prefer `globalThis` over `global`.
test/server/messagerelay.spec.ts,L10,Prefer `globalThis` over `global`.
test/server/messagerelay.spec.ts,L14,Prefer `globalThis` over `global`.
test/server/session.spec.ts,L7,Prefer `globalThis` over `global`.
test/server/session.spec.ts,L7,Prefer `globalThis` over `global`.
test/server/session.spec.ts,L11,Prefer `globalThis` over `global`.
test/view/cameratop.spec.ts,L23,Don't use a zero fraction in the number.
test/view/dom.ts,L1,Prefer `node:fs` over `fs`.
test/view/dom.ts,L2,Prefer `node:fs` over `fs`.
test/view/dom.ts,L1,Prefer `node:fs` over `fs`.
